CharacteristicCode_Logic,Active,Description,UnsupportedLengthEquation_m,MassEquation_kg,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 1500lb FF",,21.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 150lb RTJ",,4.08,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 300lb RTJ",,5.9,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 600lb RTJ",,6.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A7) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 900lb RTJ",,14.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=A8) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"3"" 1500lb RTJ",,21.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN10 RF,,0.7,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN16 RF,,0.7,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN25 RF,,0.7,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN40 RF,,0.7,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN64 RF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=R3) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN100 RF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN10 FF,,0.7,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN16 FF,,0.7,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN25 FF,,0.7,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN40 FF,,0.7,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN64 FF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=F3) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN100 FF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN10 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN16 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN25 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN40 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN64 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J1) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN25 PN100 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN10 RF,,1.15,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN16 RF,,1.15,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN25 RF,,1.15,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN40 RF,,1.15,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN64 RF,,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=R4) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN100 RF,,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN10 FF,,1.15,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN16 FF,,1.15,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN25 FF,,1.15,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN40 FF,,1.15,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN64 FF,,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=F4) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN100 FF,,3,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN10 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN16 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN25 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN40 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN64 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J2) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN40 PN100 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN10 RF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN16 RF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN25 RF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN40 RF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN64 RF,,3.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=R5) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN100 RF,,3.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN10 FF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN16 FF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN25 FF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN40 FF,,2.1,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN64 FF,,3.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=F5) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN100 FF,,3.6,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN10 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN16 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN25 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN40 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN64 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J3) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN50 PN100 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN10 RF,,4,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN16 RF,,4,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN25 RF,,4,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN40 RF,,4,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN64 RF,,6.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=R6) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN100 RF,,6.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN10 FF,,4,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN16 FF,,4,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN25 FF,,4,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN40 FF,,4,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN64 FF,,6.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=F6) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN100 FF,,6.8,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=D1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN10 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=D2) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN16 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=D3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN25 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=D4) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN40 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=D5) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN64 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=J4) AND (CH/FPD/END/CONN/RAT=D6) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,DN80 PN100 RTJ,,,,,,,,,,
(CH/FPD/END/CONN/TYPE=R7) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"4"" 150lb RF",,6,,,,,,,,
(CH/FPD/END/CONN/TYPE=F7) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"4"" 150lb FF",,6,,,,,,,,
(CH/FPD/END/CONN/TYPE=R7) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"4"" 300lb RF",,10.5,,,,,,,,
(CH/FPD/END/CONN/TYPE=F7) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"4"" 300lb FF",,10.5,,,,,,,,
(CH/FPD/END/CONN/TYPE=R8) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"6"" 150lb RF",,10.3,,,,,,,,
(CH/FPD/END/CONN/TYPE=F8) AND (CH/FPD/END/CONN/RAT=A1) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"6"" 150lb FF",,10.3,,,,,,,,
(CH/FPD/END/CONN/TYPE=R8) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"6"" 300lb RF",,19.9,,,,,,,,
(CH/FPD/END/CONN/TYPE=F8) AND (CH/FPD/END/CONN/RAT=A3) AND NOT ((CH/FPD/TORBAR/TYPE=W1) OR (CH/FPD/TORBAR/TYPE=T1) OR (CH/FPD/TORBAR/TYPE=F1)),TRUE,"6"" 300lb FF",,19.9,,,,,,,,
